tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
RT @HelenBranswell: 1. WA State reports +3 deaths among the #Covid19 cases in Seattle-King County. That brings the deaths there — and in th…,Mon Mar 02 19:59:49 +0000 2020,COVID19 Monitor,Covid19Monitor,24,119,False,,0,0
"RT @RepSwalwell: My office just received a call from a constituent who yelled, “I’m not falling for the Democrat #coronavirus hoax.” Presid…",Mon Mar 02 19:59:49 +0000 2020,spaceforceSUX,SpaceforceSux,1027,1224,False,,0,0
RT @usfcoph: #USF College of Public Health doctoral student Caitlin Wolfe shares tips to prepare for the #Coronavirus: https://t.co/P6LBHRK…,Mon Mar 02 19:59:49 +0000 2020,Jessica Abbie Garcia,jessabbiegarcia,57,305,False,,0,0
Its #coronovirus NOT #coronavirus  😂😂,Mon Mar 02 19:59:49 +0000 2020,TimaeusLover96,TimaeusL,7,26,False,,0,0
"RT @AFP: #UPDATE The global death toll from the #coronavirus epidemic passed 3,000 on Monday with over 89,000 infected as more people died…",Mon Mar 02 19:59:50 +0000 2020,carmela mcmartin,mujerpescado,442,1316,False,,0,0
"RT @HeidiNBC: Dr. Matt McCarthy: NY Presbyterian Hospital on Coronavirus:

""We are not testing at full capacity and that is a national scan…",Mon Mar 02 19:59:50 +0000 2020,Vi_mb,elephant1417,603,2035,False,,0,0
RT @KalieG_KING5: #Breaking Health officials just announced a total of 5 people have died from #coronavirus in King County. At least 14 peo…,Mon Mar 02 19:59:50 +0000 2020,Juanita Waterman 🧢💙,JuanitaWaterman,7115,7407,False,,0,0
RT @realFFK: If cows had been the ones affected by #coronavirus &amp;were dying all over the world Buhari would have done a national broadcast…,Mon Mar 02 19:59:50 +0000 2020,Lawan Bappayaya Abdullahi,BappayayaA,886,486,False,,0,0
"RT @MacLesggy: Les laboratoires #Boiron ayant malencontreusement effacé leur tweet de ce matin, je me permets de le remettre ici. ""N'utilis…",Mon Mar 02 19:59:50 +0000 2020,BOULET Jacqueline,BOULETJacqueli1,465,314,False,,0,0
"RT @SkyNews: Germany's interior minister has refused to shake hands with Angela Merkel amid growing fears over #coronavirus in Europe.

To…",Mon Mar 02 19:59:50 +0000 2020,Resedrömmen,resedrommen,1319,368,False,,0,0
"RT @maggiemerch: ""A male in his 50s, hospitalized at Highline Hospital. 

▶️➡️▶️➡️▶️➡️▶️➡️ No known exposures."" 

The patient got it from s…",Mon Mar 02 19:59:51 +0000 2020,John P Wei,Johnpwei1,83,262,False,,0,0
"RT @wef: Five things we can all do. 

📕 Read more: https://t.co/f7mhHgpmrZ #coronavirus #covid19 https://t.co/doNbyaXIPb",Mon Mar 02 19:59:51 +0000 2020,Michael Mangold,mikerdot,1227,482,False,,0,0
"RT @DrOz: BREAKING: 3 more people in Washington state have died from the #coronavirus, bringing the total deaths in the US to 5. 
https://t…",Mon Mar 02 19:59:51 +0000 2020,The Crime Buff,TheCrimeBuff,7468,370,False,,0,0
RT @MartheetMarie: #Ebola est beaucoup plus dangereux que le #COVID19 et a tué beaucoup plus de monde mais il n'y a jamais eu une telle psy…,Mon Mar 02 19:59:51 +0000 2020,فروغ,Forough_O_Zaman,214,108,False,,0,0
Lol Simon gives me jokes. I heard him on another show telling people to take advantage of any travel deals 😅… https://t.co/grVU84qyoX,Mon Mar 02 19:59:51 +0000 2020,Gembaaa 🙋🏾,LDN_Gem,172,176,False,,0,0
RT @arslan_hidayat: Uyghur head nurse comforts her hearbroken sobbing mother before going to #Wuhan to fight #coronavirus. https://t.co/7CT…,Mon Mar 02 19:59:52 +0000 2020,Ali Y.Hussain,Eng_4li,325,620,False,,0,0
"RT @Crwth_: Chaos in #Wuhan grocery stores, empty shelving and panic at the checkout. People on the streets now begging for food and water.…",Mon Mar 02 19:59:52 +0000 2020,Puckishfair🌈🇺🇸🇮🇪,JosephOConnell3,4326,4524,False,,0,0
"RT @TomthunkitsMind: ACCORDING TO THE CDC, AS OF FEB 28, THEY HAVE ONLY TESTED 495 AMERICANS FOR THE #CORONAVIRUS. BECAUSE CDC CONTROLLED A…",Mon Mar 02 19:59:52 +0000 2020,Greg Valancius,gvalan,28733,27282,False,,0,0
"RT @scottsantens: In response to the nationwide school closures resulting from #COVID19, Japan is going to start paying parents $80/day to…",Mon Mar 02 19:59:52 +0000 2020,C. L. Jeeves 🧢,jeeves_c,3162,3083,False,,0,0
"🔸#Coronavirus – 5 ways how to protect yourself; via @wef 

@DrJDrooghaag @robmay70 @RagusoSergio @sminaev2015… https://t.co/w5imkY8kB2",Mon Mar 02 19:59:52 +0000 2020,𝗖𝗮𝗿𝗺𝗲𝗻 𝗗𝗮𝗵𝗹 🔸,Dahl_Consult,6077,909,False,,34,38
"RT @RepSwalwell: My office just received a call from a constituent who yelled, “I’m not falling for the Democrat #coronavirus hoax.” Presid…",Mon Mar 02 19:59:53 +0000 2020,wendy,wendy50591899,1312,1382,False,,0,0
"RT @YoumnaSherry: ٨)حارب المرض بالوقاية والمعرفة ونشرهما.
إرشادات عامة إجتماعية .  
#لبنان #dolar #كورونا #Corona #فيروس_كورونا  
#CoronaOu…",Mon Mar 02 19:59:53 +0000 2020,مِــــنـــة 💫,NonaChan1210,385,185,False,,0,0
"RT @DrEricDing: Nursing home epidemic is now a tragedy in WA state: +4 more new cases, 2 of which were new deaths. “This brings the total n…",Mon Mar 02 19:59:53 +0000 2020,Guadalupe Switala,LaSwitala,23,452,False,,0,0
