tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
"The cost of one year of public college tuition, room, board and fees cost $1,600 in 1973.

Today it's $22,000 even… https://t.co/mqLOhQ4Rv8",Sun Feb 23 15:53:38 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,12911,84550
"RT @foe_us: The science is clear: Fracking poisons our water and causes climate change.

We're joining 570+ like-minded groups in endorsing…",Sun Feb 23 18:49:33 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,0,0
"Three people own more wealth than half of America.

13 million people are working two or three jobs to make ends me… https://t.co/YLeHRZR2Rx",Sun Feb 23 19:32:00 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1745,7913
"What Dr. King's extraordinary vision was all about was building a beloved community.

Our job is to bring people of… https://t.co/D6Jbm1a7Sl",Sun Feb 23 21:09:21 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,2140,12500
"The richest 400 Americans own $2.9 trillion—the size of the entire UK economy.

These 400 billionaires pay a lower… https://t.co/mslcvTxpu4",Sat Feb 22 16:06:58 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,7787,36325
"When we pass Medicare for All, we will save tens of thousands of American lives and hundreds of billions of dollars… https://t.co/47k3LTty5P",Sat Feb 22 22:45:15 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,2470,11307
"There will no real social progress in this country unless we have the courage to take on Wall Street, the insurance… https://t.co/V8G1SVanci",Fri Feb 21 15:01:25 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,2546,14057
"The wealthiest top 1% owe 70 percent of unpaid taxes. If we collected less than a third of that, we could pay for u… https://t.co/8I3mye5CBF",Fri Feb 21 17:11:19 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1644,6294
"$106 billion in profits. $0 in taxes. That's 91 of America's richest corporations.

By taking on the very wealthy,… https://t.co/nhb95cGXX9",Fri Feb 21 18:14:26 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1991,9839
DuPont knowingly dumped poisons in our water for decades. The victims are children like Abigail Herrmann who are dr… https://t.co/KexoR0Wlxp,Fri Feb 21 19:17:04 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1000,3568
"People may say, ""Oligarchy has to do with developing countries. What does it have to do with us?""

Well, it has eve… https://t.co/WkBVSP7kLf",Fri Feb 21 21:57:02 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1273,4611
"A three-letter word is blocking the Senate from passing common-sense gun legislation: the NRA.

I wear the D- grade… https://t.co/OrpmIqJPrI",Fri Feb 21 23:28:10 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1554,8297
"Three people own more wealth than the bottom half of America.

Half our people live paycheck to paycheck.

500,000… https://t.co/3m3K79obiO",Thu Feb 20 13:20:00 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,4783,28744
"The American people want to know: If we could bail out the crooks on Wall Street, how come we can't protect working… https://t.co/0LRqMJNaZL",Thu Feb 20 15:13:25 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1328,5449
"Despite President Trump's constant support for big polluters, solar energy is making huge advancements.

Solar powe… https://t.co/5TqKWoOTAR",Thu Feb 20 15:14:04 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,791,4047
"Methane emissions that fuel climate change are much larger than we thought.

This is a moral issue. We must ban fra… https://t.co/03OEANcQNe",Thu Feb 20 17:30:00 +0000 2020,Bernie Sanders,SenSanders,9192784,2343,True,,1392,5738
