tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Live updates: Nevada GOP unanimously awards Trump its 25 delegates https://t.co/Q4QY7zpd8k,Sun Feb 23 00:04:48 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,27,66
"Live Nevada updates: Trump tweets congrats to Sanders, disses rest of the field https://t.co/qbEAyJvTll",Sun Feb 23 00:25:30 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,20,45
"46,000-year-old bird found frozen in Siberia sheds light on the end of the ice age https://t.co/nMBFxZLmCc",Sun Feb 23 00:31:02 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,132,272
A 9-year-old bullied to the brink led an Australian rugby team to a roaring crowd https://t.co/Ye4tsnsSzF,Sun Feb 23 00:52:05 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,354,1876
"Live Nevada updates | Biden thanks supporters in Las Vegas: ""We are alive, and we are coming back"" https://t.co/14RelH1Gmr",Sun Feb 23 00:54:28 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,35,95
"Analysis: Kansas vs. Baylor is a big game, but can it lift a down college basketball season? https://t.co/aDmKN9pQMt",Sun Feb 23 00:57:04 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,2,22
"Live results: Sen. Bernie Sanders leads as results continue to come in from Nevada.

See them update continuously h… https://t.co/pFbsWLKdjJ",Sun Feb 23 01:04:16 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,38,125
"Responding to news of Russian interference, Trump sends chilling message to U.S. intelligence https://t.co/fr5xQ62d3L",Sun Feb 23 01:05:08 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,127,164
"Sanders wins Nevada caucuses, his second straight victory in the race for the 2020 Democratic nomination after near… https://t.co/CFwxcofPV3",Sun Feb 23 01:14:12 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,85,218
"RT @PeterStevenson: Bernie Sanders, in San Antonio after Nevada caucus win, says, ""We are going to win across the country"" https://t.co/jNa…",Sun Feb 23 01:33:22 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,0,0
"Some infants experience strokes in utero or soon after birth, causing physical and cognitive problems. New therapie… https://t.co/SAdmLGCmjb",Sun Feb 23 01:34:42 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,36,64
"Perspective: How staggering a feat is Alex Ovechkin’s 700 goals?

It might be better than Gretzky’s 894. https://t.co/mKy5A0lmss",Sun Feb 23 01:46:01 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,14,82
"Twitter suspends 70 paid, pro-Bloomberg accounts for copy-and-paste scheme https://t.co/mJuWRp05M6",Sun Feb 23 02:13:52 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,311,756
"As Bernie Sanders’s momentum builds, down-ballot Democrats move to distance themselves https://t.co/l8oVUHPyKU",Sun Feb 23 02:24:02 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,330,623
"A 9-year-old girl got people to finally stop thinking of the peach-colored crayon as the ""skin-color"" crayon https://t.co/PnHYcRk7rs",Sun Feb 23 02:52:44 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,116,517
911 operators couldn’t trace the location of a dying student’s phone. It’s a growing issue. https://t.co/FZmMgfWIKX,Sun Feb 23 03:22:47 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,54,97
"Baby Yoda toys are finally arriving. Sure, they missed the holidays — but at least that prevented spoilers. https://t.co/l3v6HmsrPl",Sun Feb 23 03:37:01 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,58,263
"New developments suggest coronavirus incubation could be longer than 14 days, as global infections rise https://t.co/vgFQGrT432",Sun Feb 23 04:06:28 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,441,476
Iran’s Revolutionary Guards wrestle with new reality after killing of their chief military strategist https://t.co/VtkaLaVv5G,Sun Feb 23 04:36:10 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,40,94
Top Virginia Democrat blames gun-sanctuary resolutions for denial of raises https://t.co/yUuvnmVoKv,Sun Feb 23 05:02:19 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,21,61
"If you can’t go to Mardi Gras, here’s how to eat like you’re there https://t.co/7cD66EYhvO",Sun Feb 23 05:29:24 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,18,112
"Wall Street Journal reporters protest ""sick man"" headline in Wall Street Journal https://t.co/uXqVo55eTZ",Sun Feb 23 05:57:25 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,37,57
"Teachers use meditation to inspire and calm: ""Imagine a voice coming from your heart"" https://t.co/IuTI8uoFB4",Sun Feb 23 06:22:37 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,47,172
"How to do Mardi Gras like a local, according to a krewe https://t.co/7H94XQCFL1",Sun Feb 23 06:49:41 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,24,64
China’s coronavirus crisis forces Duke Kunshan University to teach online https://t.co/fSBYC65BH8,Sun Feb 23 07:17:08 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,18,78
"A lost history, recovered: Faded records tell the story of school segregation in Virginia https://t.co/stOyvDG1Rm",Sun Feb 23 07:42:58 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,31,94
Medical mystery: A hard fall unmasked an unusual condition that had caused her pain for years https://t.co/F3DSl0Wd9I,Sun Feb 23 08:10:41 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,17,87
"Supreme Court removes last remaining obstacle to immigrant ""wealth test"" https://t.co/I1M54tPZ10",Sun Feb 23 08:39:00 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,115,124
Art is helping seniors piece together snippets of their past https://t.co/hKVMn1qXiJ,Sun Feb 23 09:04:06 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,29,111
"Perspective: We Danes aren’t living the ""American dream."" And we still aren’t socialist. https://t.co/zk7ofkmAJT",Sun Feb 23 09:33:16 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,276,858
Perspective: Modi is pretending to be Gandhi’s heir. He’s the exact opposite. https://t.co/DBs93C7z2a,Sun Feb 23 10:01:59 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,109,200
"Inspired by Welsh rarebit, a cheesy cauliflower soup dishes up comfort for a crowd https://t.co/9SUVYAlPFq",Sun Feb 23 10:30:21 +0000 2020,The Washington Post,washingtonpost,14922866,1662,True,,22,134
