tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
RT @motokorich: 1/ When the Diamond Princess  docked in Yokohama after confirming that a passenger who got off in Hong Kong tested positive…,Sun Feb 23 00:24:07 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
"Breaking News: Bernie Sanders scored a big victory in the Nevada caucuses, strengthening his position as the front-… https://t.co/dJXfD8tj7J",Sun Feb 23 00:54:00 +0000 2020,The New York Times,nytimes,45248739,898,True,,357,1526
"RT @nytgraphics: With just 4% reporting, Bernie Sanders has won the #NevadaCaucus, according to The Associated Press. Check out the full re…",Sun Feb 23 00:55:50 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
"See #NevadaCaucus precinct results from the state Democratic Party, the most detailed map available https://t.co/ZPkxwSmZFU",Sun Feb 23 01:02:12 +0000 2020,The New York Times,nytimes,45248739,898,True,,22,57
RT @NYTMetro: Gov. Phil Murphy of New Jersey said that he would undergo surgery next month to remove a tumor on his kidney https://t.co/sp7…,Sun Feb 23 01:13:23 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
"""Marriage is difficult, and managing to stay married after the death of your child is incredibly, incredibly diffic… https://t.co/Tw9VkvwSIP",Sun Feb 23 01:20:03 +0000 2020,The New York Times,nytimes,45248739,898,True,,78,284
RT @peterbakernyt: Sanders's Nevada triumph after strong showings in Iowa and New Hampshire will propel him into South Carolina and Super T…,Sun Feb 23 01:42:59 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
Gov. Phil Murphy of New Jersey said that he would undergo surgery next month to remove a tumor on his kidney https://t.co/pvqFbfMEIh,Sun Feb 23 01:45:07 +0000 2020,The New York Times,nytimes,45248739,898,True,,25,98
"In a speech after Bernie Sanders won the Nevada caucuses, Pete Buttigieg delivered a fierce argument against nomina… https://t.co/H2XMM1746y",Sun Feb 23 01:50:05 +0000 2020,The New York Times,nytimes,45248739,898,True,,96,398
"RT @AsteadWesley: NEW: Bernie Sanders win Nevada should reshape the narrative about his supporters, and is a wake up call to rivals who hav…",Sun Feb 23 02:13:24 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
"In a caucus night speech to supporters, Joe Biden said, ""We’re going on to South Carolina and winning and then we’r… https://t.co/H2i1yljTTf",Sun Feb 23 02:18:27 +0000 2020,The New York Times,nytimes,45248739,898,True,,39,194
"With 11% of precincts now reporting, here are the latest results from the Nevada caucuses. Bernie Sanders has alrea… https://t.co/8tsyDhCfan",Sun Feb 23 02:28:01 +0000 2020,The New York Times,nytimes,45248739,898,True,,151,607
"After the Nevada caucuses, Bernie Sanders has been established as the clear front-runner for the Democratic preside… https://t.co/dcIjGPVY7j",Sun Feb 23 02:40:06 +0000 2020,The New York Times,nytimes,45248739,898,True,,262,840
"RT @jennymedina: How a multiracial coalition of immigrants, college students, Latina mothers, younger black voters, white liberals and even…",Sun Feb 23 02:50:02 +0000 2020,The New York Times,nytimes,45248739,898,True,,0,0
"News Analysis: For at least one day in Nevada, Bernie Sanders's long-promised political revolution came to life, wr… https://t.co/jYtaG66LPn",Sun Feb 23 03:00:34 +0000 2020,The New York Times,nytimes,45248739,898,True,,70,218
Bake this gluten-free version of @NYTFood’s star chocolate chip cookie recipe https://t.co/fPI92dwVSp,Sun Feb 23 03:10:05 +0000 2020,The New York Times,nytimes,45248739,898,True,,66,304
"With 22% of precincts now reporting, these are the latest results from the Nevada caucuses.

Follow more results as… https://t.co/pd7BQOcLEI",Sun Feb 23 03:20:42 +0000 2020,The New York Times,nytimes,45248739,898,True,,130,516
Elizabeth Warren opened her speech in Seattle Saturday night with a message for Nevada caucusgoers: “Thank you for… https://t.co/qgMY9ZlPqY,Sun Feb 23 03:33:15 +0000 2020,The New York Times,nytimes,45248739,898,True,,61,420
"Politicized by her child’s death, Andrée Blouin counseled the first post-colonial leaders of Algeria, both Congos,… https://t.co/N2Hy9ggIiT",Sun Feb 23 03:40:04 +0000 2020,The New York Times,nytimes,45248739,898,True,,62,270
