tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
“The Kremlin is reportedly backing Bernie Sanders bid to win the White House.” Jon Scott  @FoxNews  Why didn’t somebody tell me this?,Sun Feb 23 00:17:24 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,24670,106728
Just another Shifty Schiff leak. Isn’t there a law about this stuff? https://t.co/JWE0oPhiw9,Sun Feb 23 01:55:18 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,20871,74187
RT @DanScavino: https://t.co/Vh0zf0WuPX,Sun Feb 23 05:52:08 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,0,0
Departing for India with Melania! https://t.co/sZhb3E1AoB,Sun Feb 23 15:14:43 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,29068,194781
"RT @USMC: Seventy-five years ago today during the Battle of #IwoJima75, Marines claimed Mount Suribachi and raised the American flag at its…",Sun Feb 23 16:02:31 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,0,0
"Look forward to being with all of my friends and supporters @CPAC on Saturday, February 29th! #KAG2020 https://t.co/9bpnIzFnws",Sun Feb 23 18:13:13 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,13258,60574
Somebody please tell incompetent (thanks for my high poll numbers) &amp; corrupt politician Adam “Shifty” Schiff to sto… https://t.co/I5TR9udbj9,Sun Feb 23 18:29:08 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,34505,145027
"Are any Democrat operatives, the DNC, or Crooked Hillary Clinton, blaming Russia, Russia, Russia for the Bernie San… https://t.co/lakRsSx7GN",Sun Feb 23 18:45:26 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,28341,111538
Jeff Van Drew is a Courageous Leader that left the Do Nothing Democrats to better serve the Great people of New Jer… https://t.co/Hfs7WYtTYr,Sun Feb 23 21:19:28 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,11214,51288
Crazy Bernie and the Democrats should see this. I have done far more for the African American community than any Pr… https://t.co/vc0uX2D69I,Sun Feb 23 22:51:07 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,25414,87658
https://t.co/1Awkh7BRsi,Sun Feb 23 23:01:44 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,16445,71965
"95% Approval Rating in the Republican Party, a Record. 218 Federal Judges, also a Record. 2 Supreme Court Justices. Thank you!",Sun Feb 23 23:07:43 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,24275,130833
"RT @narendramodi: India looks forward to welcoming @POTUS @realDonaldTrump. 

It is an honour that he will be with us tomorrow, starting wi…",Sun Feb 23 23:18:45 +0000 2020,Donald J. Trump,realDonaldTrump,73120517,47,True,,0,0
"MSDNC (Comcast Slime), @CNN and others of the Fake Media, have now added Crazy Bernie to the list of Russian Sympat… https://t.co/CUj7WlvK29",Sat Feb 22 03:43:56 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,15998,61502
"....The reason for this is that the Do Nothing Democrats, using disinformation Hoax number 7, don’t want Bernie San… https://t.co/kTbD16zRh4",Sat Feb 22 03:43:56 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,11178,45134
"RT @k_ovfefe2: Here's a ""Bernie is Putin's puppet"" meme for no particular reason https://t.co/UM2iDYfaPy",Sat Feb 22 03:47:39 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"Simply put, he choked! https://t.co/4GeJMvTO2j",Sat Feb 22 03:54:17 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,9957,43982
"RT @ByronYork: Amusing: First Bloomberg called for Biden, Buttigieg, Klobuchar to quit race. Hey, all you losers, leave it to Mike! Now, Te…",Sat Feb 22 03:55:24 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
Good luck Angela! https://t.co/M4KVeGZsqo,Sat Feb 22 03:58:38 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,16033,57492
RT @BuckSexton: There is no more obvious and pathetic sign of Democrats’ panic about the upcoming 2020 election than the convenient return…,Sat Feb 22 04:02:38 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @BuckSexton: What a coincidence, right before Nevada!

Starting to think the reason Bernie bros are so angry is they realize the Democra…",Sat Feb 22 04:02:54 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @BuckSexton: Then again, let’s be honest: if you’re Putin, you probably do want to sit across the negotiating table from a guy who honey…",Sat Feb 22 04:03:05 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @KimStrassel: Donald Trump, Mastermind: Liberals detect a devious cover-up plot with Bill Barr. https://t.co/gfbLh8w4ox via @WSJ",Sat Feb 22 04:11:26 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
RT @RealJamesWoods: Cleaning the garlic from the pantry before the vampire party starts... #DemocratsHateAmerica,Sat Feb 22 04:12:49 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @Jamierodr14: BAM! 

Trey Gowdy Slams the NYT report claiming Russia is trying to help get President Trump reelected in November. 

This…",Sat Feb 22 04:13:13 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @prayingmedic: San Diego Sheriff's Department is the first to announce its cooperation with ICE.
They will share information about crimi…",Sat Feb 22 04:13:53 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
RT @seanmdav: What a coincidence that Russia always happens to support whoever the Democrat party elites are trying to destroy at any given…,Sat Feb 22 04:14:23 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @charliekirk11: Did you know:

Russia donated over $145,000,000 to the Clinton Foundation

Hillary Clinton sold 20% America’s Uranium to…",Sat Feb 22 04:14:51 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @johncardillo: Friend of mine, a JAG lawyer, just made an interesting point about Russia/Sanders,

“Wait, I thought the protocol was to…",Sat Feb 22 04:15:35 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
"RT @katrina_wiser: ICE Arrests 2 Illegal Aliens in CA Courthouse, Flouting New State Law 

“Our officers will not have their hands tied by…",Sat Feb 22 04:16:01 +0000 2020,Donald J. Trump,realDonaldTrump,73120519,47,True,,0,0
