tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
"In an angry America, a new remedy emerges: Compassion https://t.co/CJAn5KESzb",Thu Jan 30 13:01:53 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,52,195
"Vanessa Bryant: ""There aren’t enough words to describe our pain right now"" https://t.co/WCmG6tTX9y",Thu Jan 30 13:13:45 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,42,246
Impeachment trial live updates: Senators to pose more questions ahead of crucial vote on witnesses https://t.co/ty5LS4H8IF,Thu Jan 30 13:21:05 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,15,52
Document shows Bernie Sanders’s team preparing dozens of potential executive orders https://t.co/ppV7S1jwCt,Thu Jan 30 13:21:06 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,29,149
"Commerce Secretary Wilbur Ross says China’s coronavirus ""will help"" bring jobs back to U.S. https://t.co/HyKom0VQkr",Thu Jan 30 13:22:37 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,417,587
"Publisher cancels ""American Dirt"" book tour: ""Serious mistakes"" and ""concerns about safety"" https://t.co/BXYuCAeaxW",Thu Jan 30 13:31:08 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,13,59
"U.S. economy grew 2.3 percent in 2019, the slowest of Trump's presidency, held back by trade fears and global slowd… https://t.co/yL7RDZTTHc",Thu Jan 30 13:32:58 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,469,634
Opinion: Trump’s mixed-motive defense is a lousy argument dressed up in plausible legalese https://t.co/bWfWTQgF9w,Thu Jan 30 13:35:08 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,72,270
"RT @misssoniarao: Morning, motherforkers! Here's showrunner Mike Schur on making moral philosophy fun with ""The Good Place,"" which airs its…",Thu Jan 30 13:51:58 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,0,0
Americans stranded in virus-hit Wuhan await evacuation as U.S. plans extra flights https://t.co/4Wj9I2Ym9e,Thu Jan 30 14:00:20 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,23,67
Analysis: The Trump-Boris honeymoon is over https://t.co/uw60pmVsTN,Thu Jan 30 14:01:02 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,42,116
"U.S. plans new evacuation flights as coronavirus cases in China grow by more than 1,000 per day https://t.co/cKQXZXAuRJ",Thu Jan 30 14:14:57 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,59,82
Atlanta pastor enters contentious Georgia Senate race https://t.co/MfuuYQ0lpf,Thu Jan 30 14:22:06 +0000 2020,The Washington Post,washingtonpost,14922852,1662,True,,31,106
