tweets,date,user_name,user_screen_name,user_followers,user_friends,user_verified,user_language,retweet_count,favorite_count
Former U.S. Attorney General Jeff Sessions was forced into a runoff in the Republican primary for the Senate seat i… https://t.co/VGDJqPcyFy,Wed Mar 04 05:09:54 +0000 2020,The New York Times,nytimes,45875705,900,True,,78,323
"RT @dionnesearcey: First came immigration sanctuary cities. Then second amendment sanctuary cities. Now, some Texas towns want sanctuary ci…",Wed Mar 04 05:15:05 +0000 2020,The New York Times,nytimes,45875705,900,True,,0,0
"The biggest question on Super Tuesday is how many delegates each candidate won.

Here's why we probably won’t know… https://t.co/HoPzHXkyTS",Wed Mar 04 05:20:05 +0000 2020,The New York Times,nytimes,45875705,900,True,,32,90
"RT @jmartNYT: NEW: Biden reclaims status as a frontrunner w a string of victories, dealing a potentially fatal blow to Bloomberg, while Ber…",Wed Mar 04 05:23:38 +0000 2020,The New York Times,nytimes,45875705,900,True,,0,0
"Most adults between the ages of 18 and 79 should be screened for hepatitis C, the U.S. Preventive Services Task For… https://t.co/1M6JMr0omD",Wed Mar 04 05:30:09 +0000 2020,The New York Times,nytimes,45875705,900,True,,31,59
News Analysis: Peter S. Goodman writes that as global policymakers try to limit the economic damage from the corona… https://t.co/pA8qlD2Hw4,Wed Mar 04 05:40:01 +0000 2020,The New York Times,nytimes,45875705,900,True,,56,133
How Elizabeth Warren lost Massachusetts on Super Tuesday — and reached the nadir of her bid for the White House https://t.co/o72KWqav89,Wed Mar 04 05:50:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,62,261
"Here's where Super Tuesday stands as of 1 a.m. Eastern on Wednesday.

We'll have more live results as they're repor… https://t.co/QFm4yxFtHB",Wed Mar 04 06:00:30 +0000 2020,The New York Times,nytimes,45875705,900,True,,53,174
"RT @mattfleg: It was conceivable a year ago, unthinkable a week ago.

How Joe Biden became the safe choice again -- and why there's some ri…",Wed Mar 04 06:10:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,0,0
"RT @nytgraphics: So far, Joe Biden has won eight states and Bernie Sanders has won three. Texas, California and Maine are still uncalled. S…",Wed Mar 04 06:20:09 +0000 2020,The New York Times,nytimes,45875705,900,True,,0,0
"Some places where Mike Bloomberg did have a good Super Tuesday:
—Pitkin County, Colorado, home to Aspen
—Summit Cou… https://t.co/94CsSlaQxK",Wed Mar 04 06:30:13 +0000 2020,The New York Times,nytimes,45875705,900,True,,64,318
"Super Tuesday recap: Joe Biden is back as a front-runner. Bernie Sanders took California, The A.P. said. And Texas… https://t.co/TF1GdHfYLy",Wed Mar 04 06:38:35 +0000 2020,The New York Times,nytimes,45875705,900,True,,77,244
"—Hospitals in South Korea are struggling to find beds for thousands of infected patients
—The outbreak is starting… https://t.co/1Baw7g24P6",Wed Mar 04 06:49:29 +0000 2020,The New York Times,nytimes,45875705,900,True,,242,371
Read updates in Chinese: 新冠病毒疫情最新消息 https://t.co/ULUsmB93wf,Wed Mar 04 06:50:08 +0000 2020,The New York Times,nytimes,45875705,900,True,,14,29
"Breaking News: Joe Biden won Texas, giving him the 2nd-biggest delegate prize of Super Tuesday, and rounding out hi… https://t.co/6p8PpRjgoN",Wed Mar 04 07:02:24 +0000 2020,The New York Times,nytimes,45875705,900,True,,360,1261
"3 familiar faces in Texas are one step closer to Congress after winning Super Tuesday primaries:
—Wendy Davis, who… https://t.co/tFPk7Vkrbp",Wed Mar 04 07:10:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,39,136
The coronavirus outbreak has hobbled Chinese factories that supply India’s vast drug industry with ingredients for… https://t.co/BR93PUrEy7,Wed Mar 04 07:20:06 +0000 2020,The New York Times,nytimes,45875705,900,True,,101,135
"Tips for cleaning your area of a plane and keeping healthy on a flight:
—Keep your hands clean and stop touching yo… https://t.co/JzHHKCwXhU",Wed Mar 04 07:40:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,128,309
"Two hours after polls had closed in Los Angeles, hundreds of people were still in a line. “I have a lot of regrets,… https://t.co/VIcIsNfS6l",Wed Mar 04 07:56:48 +0000 2020,The New York Times,nytimes,45875705,900,True,,55,238
Europe morning briefing: Here's what you need to know to start your day https://t.co/mV0l076fLB,Wed Mar 04 08:07:03 +0000 2020,The New York Times,nytimes,45875705,900,True,,26,96
"In her first-ever statement, Kim Yo-jong, the only sister of North Korean leader, called South Korea's presidential… https://t.co/fGGgLt2Kn5",Wed Mar 04 08:20:05 +0000 2020,The New York Times,nytimes,45875705,900,True,,64,195
"The swamp wallaby gets pregnant again before the first pregnancy is even over, suggesting that female swamp wallabi… https://t.co/ElFSTlKb2T",Wed Mar 04 08:40:03 +0000 2020,The New York Times,nytimes,45875705,900,True,,104,463
Many parents blame sugar for their children’s hyperactive behavior. But the myth has been debunked. https://t.co/dKo8NIDI9l,Wed Mar 04 09:00:07 +0000 2020,The New York Times,nytimes,45875705,900,True,,95,358
"RT @halbfinger: “Just like white people in rural America feel that they’re the real Americans, Mizrahim don’t feel like a minority group. T…",Wed Mar 04 09:10:11 +0000 2020,The New York Times,nytimes,45875705,900,True,,0,0
Chinese readers shared their views on how the country responded to the coronavirus outbreak. One was living just mi… https://t.co/JmD2So8ArS,Wed Mar 04 09:20:05 +0000 2020,The New York Times,nytimes,45875705,900,True,,43,118
"Global markets stabilized one day after Wall Street ended sharply lower, signaling a wait-and-see stance by investo… https://t.co/TClUBrw1DE",Wed Mar 04 09:40:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,39,95
News Analysis: The Israeli prime minister’s fervent base can make President Trump’s look pallid. And they don’t car… https://t.co/uU1KfjimOo,Wed Mar 04 10:00:09 +0000 2020,The New York Times,nytimes,45875705,900,True,,35,100
At least 120 cases of coronavirus have been recorded in more than a dozen U.S. states. Vice President Mike Pence sa… https://t.co/sGyuh6cXDm,Wed Mar 04 10:20:04 +0000 2020,The New York Times,nytimes,45875705,900,True,,114,171
"Many expatriates have the means — and the passports — to leave Hong Kong during the outbreak, but no intention of d… https://t.co/caQTRkkea2",Wed Mar 04 10:30:02 +0000 2020,The New York Times,nytimes,45875705,900,True,,14,106
